pl_name,hostname,pl_letter,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_pubdate,disc_locale,disc_facility,disc_telescope,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_vsin,sy_gaiamag
11 Com b,11 Com,b,2,1,0,Radial Velocity,2007,2008-01,Ground,Xinglong Station,2.16 m Telescope,326.03000000,12.100,6165.60000,19.100000,0.231000,,,,,G8 III,4742.00,19.00,2.70,2.243,2.31,,,1.2000,4.4403800
11 UMi b,11 UMi,b,1,1,0,Radial Velocity,2009,2009-10,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,516.21997000,12.300,4684.81420,13.800000,0.080000,,,,,K4 III,4213.00,29.79,2.78,2.430,1.93,1.560,,1.5000,4.5621600
14 And b,14 And,b,1,1,0,Radial Velocity,2008,2008-12,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,185.84000000,12.900,1525.50000,3.900000,0.000000,,,,,K0 III,4813.00,11.00,2.20,1.763,2.63,4.500,,2.6000,4.9178100
14 Her b,14 Her,b,1,1,0,Radial Velocity,2002,2003-01,Ground,W. M. Keck Observatory,10 m Keck I Telescope,1773.40002000,12.900,1481.08780,3.790000,0.370000,,,,,K0 V,5338.00,0.93,0.90,-0.153,4.45,3.900,1.27393,1.0000,6.3830000
16 Cyg B b,16 Cyg B,b,3,1,0,Radial Velocity,1996,1997-07,Ground,Multiple Observatories,Multiple Telescopes,798.50000000,13.500,565.73740,1.260000,0.680000,,,,,G3 V,5750.00,1.13,1.08,0.097,4.36,7.400,1.01103,2.7000,6.0642800
18 Del b,18 Del,b,2,1,0,Radial Velocity,2008,2008-06,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,993.30000000,12.500,3273.50000,9.210000,0.080000,,,,,G6 III,4979.00,8.50,2.30,1.602,2.82,1.100,,,5.2747600
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,1,1,0,Imaging,2008,2008-12,Ground,Gemini Observatory,8.19 m Gemini North Telescope,,18.647,3000.00000,2.540000,,,1700,,,K7 V,4060.00,1.31,0.85,-0.370,4.00,0.005,0.38789,,12.0572000
24 Boo b,24 Boo,b,1,1,0,Radial Velocity,2018,2018-08,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,30.35060000,13.900,289.22530,0.592000,0.042000,,,,,G3 IV,4893.00,10.64,0.99,1.774,2.42,6.920,,3.3600,5.3339000
24 Sex b,24 Sex,b,1,2,0,Radial Velocity,2010,2011-01,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,452.80000000,13.400,632.46000,1.440000,0.090000,,,,,K0 IV,5098.00,4.90,1.54,1.164,3.50,2.700,,2.7700,6.2037400
24 Sex c,24 Sex,c,1,2,0,Radial Velocity,2010,2011-01,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,883.00000000,13.900,273.32000,0.559000,0.290000,,,,,K0 IV,5098.00,4.90,1.54,1.164,3.50,2.700,,2.7700,6.2037400
