discoverymethod,disc_locale,disc_facility,disc_telescope
Radial Velocity,Ground,Xinglong Station,2.16 m Telescope
Radial Velocity,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope
Radial Velocity,Ground,Okayama Astrophysical Observatory,1.88 m Telescope
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,Okayama Astrophysical Observatory,1.88 m Telescope
Imaging,Ground,Gemini Observatory,8.19 m Gemini North Telescope
Radial Velocity,Ground,Okayama Astrophysical Observatory,1.88 m Telescope
Radial Velocity,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope
Radial Velocity,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope
Imaging,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope
Imaging,Ground,W. M. Keck Observatory,10 m Keck II Telescope
Imaging,Ground,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope
Imaging,Space,Hubble Space Telescope,2.4 m Hubble Space Telescope
Imaging,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope
Eclipse Timing Variations,Space,Kepler,0.95 m Kepler Telescope
Imaging,Ground,W. M. Keck Observatory,10 m Keck II Telescope
Imaging,Ground,W. M. Keck Observatory,10 m Keck II Telescope
Radial Velocity,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope
Radial Velocity,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope
Radial Velocity,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope
Radial Velocity,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope
Radial Velocity,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope
Radial Velocity,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope
Imaging,Ground,Gemini Observatory,8.19 m Gemini South Telescope
