system_name,sy_snum,sy_pnum,sy_mnum
11 Com,2,1,0
11 UMi,1,1,0
14 And,1,1,0
14 Her,1,1,0
16 Cyg B,3,1,0
18 Del,2,1,0
1RXS J160929.1-210524,1,1,0
24 Boo,1,1,0
24 Sex,1,2,0
2MASS J01033563-5515561 A,2,1,0
2MASS J01225093-2439505,1,1,0
2MASS J02192210-3925225,1,1,0
2MASS J04414489+2301513,1,1,0
2MASS J12073346-3932539,1,1,0
2MASS J19383260+4603591,2,1,0
2MASS J21402931+1625183 A,1,1,0
2MASS J22362452+4751425,1,1,0
30 Ari B,4,1,0
4 UMa,1,1,0
42 Dra,2,1,0
47 UMa,1,3,0
51 Eri,3,1,0
51 Peg,1,1,0
55 Cnc,2,5,0
6 Lyn,1,1,0
61 Vir,1,3,0
7 CMa,1,2,0
70 Vir,1,1,0
75 Cet,2,1,0
8 UMi,1,1,0
81 Cet,1,1,0
91 Aqr,3,1,0
AB Pic,1,1,0
AU Mic,1,1,0
BD+03 2562,1,1,0
BD+14 4559,1,1,0
BD+15 2375,1,1,0
BD+15 2940,1,1,0
BD+20 2457,1,2,0
BD+20 274,1,1,0
BD+20 594,1,1,0
BD+48 738,1,1,0
BD+48 740,1,1,0
BD+49 828,1,1,0
BD-06 1339,1,2,0
BD-08 2823,1,2,0
BD-10 3166,1,1,0
BD-11 4672,1,2,0
BD-13 2130,1,1,0
BD-17 63,1,1,0
CFBDSIR J145829+101343,1,1,0
CHXR 73,1,1,0
CI Tau,1,1,0
CT Cha,1,1,0
CoRoT-1,1,1,0
CoRoT-10,1,1,0
CoRoT-11,1,1,0
CoRoT-12,1,1,0
CoRoT-13,1,1,0
CoRoT-14,1,1,0
CoRoT-16,1,1,0
CoRoT-17,1,1,0
CoRoT-18,1,1,0
CoRoT-19,1,1,0
CoRoT-2,2,1,0
CoRoT-20,1,2,0
CoRoT-21,1,1,0
CoRoT-22,1,1,0
CoRoT-23,1,1,0
CoRoT-24,1,2,0
CoRoT-25,1,1,0
CoRoT-26,1,1,0
CoRoT-27,1,1,0
CoRoT-28,1,1,0
CoRoT-29,1,1,0
CoRoT-3,1,1,0
CoRoT-30,1,1,0
CoRoT-31,1,1,0
CoRoT-4,1,1,0
CoRoT-5,1,1,0
CoRoT-6,1,1,0
CoRoT-7,1,2,0
CoRoT-8,1,1,0
CoRoT-9,2,1,0
CoRoTID 223977153,1,1,0
DE CVn,2,1,0
