pl_name,pl_letter
11 Com b,b
11 UMi b,b
14 And b,b
14 Her b,b
16 Cyg B b,b
18 Del b,b
1RXS J160929.1-210524 b,b
24 Boo b,b
24 Sex b,b
24 Sex c,c
2MASS J01033563-5515561 AB b,b
2MASS J01225093-2439505 b,b
2MASS J02192210-3925225 b,b
2MASS J04414489+2301513 b,b
2MASS J12073346-3932539 b,b
2MASS J19383260+4603591 b,b
2MASS J21402931+1625183 A b,b
2MASS J22362452+4751425 b,b
30 Ari B b,b
4 UMa b,b
42 Dra b,b
47 UMa b,b
47 UMa c,c
47 UMa d,d
51 Eri b,b
51 Peg b,b
55 Cnc b,b
55 Cnc c,c
55 Cnc d,d
55 Cnc e,e
55 Cnc f,f
6 Lyn b,b
61 Vir b,b
61 Vir c,c
61 Vir d,d
7 CMa b,b
7 CMa c,c
70 Vir b,b
75 Cet b,b
8 UMi b,b
81 Cet b,b
91 Aqr b,b
AB Pic b,b
AU Mic b,b
BD+03 2562 b,b
BD+14 4559 b,b
BD+15 2375 b,b
BD+15 2940 b,b
BD+20 2457 b,b
BD+20 2457 c,c
BD+20 274 b,b
BD+20 594 b,b
BD+48 738 b,b
BD+48 740 b,b
BD+49 828 b,b
BD-06 1339 b,b
BD-06 1339 c,c
BD-08 2823 b,b
BD-08 2823 c,c
BD-10 3166 b,b
BD-11 4672 b,b
BD-11 4672 c,c
BD-13 2130 b,b
BD-17 63 b,b
CFBDSIR J145829+101343 b,b
CHXR 73 b,b
CI Tau b,b
CT Cha b,b
CoRoT-1 b,b
CoRoT-10 b,b
CoRoT-11 b,b
CoRoT-12 b,b
CoRoT-13 b,b
CoRoT-14 b,b
CoRoT-16 b,b
CoRoT-17 b,b
CoRoT-18 b,b
CoRoT-19 b,b
CoRoT-2 b,b
CoRoT-20 b,b
CoRoT-20 c,c
CoRoT-21 b,b
CoRoT-22 b,b
CoRoT-23 b,b
CoRoT-24 b,b
CoRoT-24 c,c
CoRoT-25 b,b
CoRoT-26 b,b
CoRoT-27 b,b
CoRoT-28 b,b
CoRoT-29 b,b
CoRoT-3 b,b
CoRoT-30 b,b
CoRoT-31 b,b
CoRoT-4 b,b
CoRoT-5 b,b
CoRoT-6 b,b
CoRoT-7 b,b
CoRoT-7 c,c
CoRoT-8 b,b
CoRoT-9 b,b
CoRoTID 223977153 b,b
DE CVn b,b
DENIS-P J082303.1-491201 b,b
DH Tau b,b
DMPP-1 b,b
DMPP-1 c,c
DMPP-1 d,d
DMPP-1 e,e
DMPP-2 b,b
DMPP-3 A b,b
DP Leo b,b
DS Tuc A b,b
EPIC 201170410.02,b
EPIC 201238110 b,b
EPIC 201497682 b,b
EPIC 201615463 c,c
EPIC 201754305 d,d
EPIC 201757695.02,b
EPIC 201833600 c,c
EPIC 201841433 b,b
EPIC 205950854 c,c
EPIC 206024342 b,b
EPIC 206032309 b,b
EPIC 206042996 b,b
EPIC 206215704 b,b
EPIC 206317286 b,b
EPIC 211822797 b,b
EPIC 211945201 b,b
EPIC 212297394 b,b
EPIC 212424622 b,b
EPIC 212499991 b,b
EPIC 212587672 b,b
EPIC 212737443 b,b
EPIC 212737443 c,c
EPIC 220554210 c,c
EPIC 220674823 b,b
EPIC 220674823 c,c
EPIC 246851721 b,b
EPIC 248847494 b,b
EPIC 249893012 b,b
EPIC 249893012 c,c
EPIC 249893012 d,d
FU Tau b,b
G 9-40 b,b
GJ 1061 b,b
GJ 1061 c,c
GJ 1061 d,d
GJ 1132 b,b
GJ 1132 c,c
GJ 1148 b,b
GJ 1148 c,c
GJ 1151 b,b
GJ 1214 b,b
GJ 1252 b,b
GJ 1265 b,b
GJ 143 b,b
GJ 15 A b,b
GJ 15 A c,c
GJ 160.2 b,b
GJ 163 b,b
GJ 163 c,c
GJ 163 d,d
GJ 179 b,b
GJ 180 b,b
GJ 180 c,c
GJ 180 d,d
GJ 2056 b,b
GJ 229 A c,c
GJ 229 b,b
GJ 251 b,b
GJ 27.1 b,b
GJ 273 b,b
GJ 273 c,c
GJ 3021 b,b
GJ 3082 b,b
GJ 3138 b,b
GJ 3138 c,c
GJ 3138 d,d
GJ 317 b,b
GJ 317 c,c
GJ 328 b,b
GJ 3293 b,b
GJ 3293 c,c
GJ 3293 d,d
GJ 3293 e,e
GJ 3323 b,b
GJ 3323 c,c
GJ 3341 b,b
GJ 338 B b,b
GJ 3470 b,b
GJ 3473 b,b
GJ 3473 c,c
GJ 3512 b,b
GJ 357 b,b
GJ 357 c,c
GJ 357 d,d
GJ 3634 b,b
GJ 3779 b,b
GJ 3942 b,b
GJ 3998 b,b
GJ 3998 c,c
GJ 411 b,b
GJ 414 A b,b
GJ 414 A c,c
GJ 422 b,b
GJ 4276 b,b
GJ 433 b,b
GJ 433 c,c
GJ 433 d,d
GJ 436 b,b
GJ 480 b,b
GJ 486 b,b
GJ 504 b,b
GJ 536 b,b
GJ 581 b,b
GJ 581 c,c
GJ 581 e,e
GJ 625 b,b
GJ 649 b,b
GJ 667 C b,b
GJ 667 C c,c
GJ 667 C e,e
GJ 667 C f,f
GJ 667 C g,g
GJ 674 b,b
GJ 676 A b,b
GJ 676 A c,c
GJ 676 A d,d
GJ 676 A e,e
GJ 682 b,b
GJ 682 c,c
GJ 685 b,b
GJ 687 b,b
GJ 687 c,c
GJ 740 b,b
GJ 832 b,b
GJ 832 c,c
GJ 849 b,b
GJ 86 b,b
GJ 876 b,b
GJ 876 c,c
GJ 876 d,d
GJ 876 e,e
GJ 887 b,b
GJ 887 c,c
GJ 9066 b,b
GJ 9066 c,c
GJ 96 b,b
GJ 9827 b,b
GJ 9827 c,c
GJ 9827 d,d
GQ Lup b,b
GSC 06214-00210 b,b
GU Psc b,b
Gl 378 b,b
Gl 49 b,b
Gl 686 b,b
HAT-P-1 b,b
HAT-P-11 b,b
HAT-P-11 c,c
HAT-P-12 b,b
HAT-P-13 b,b
HAT-P-13 c,c
HAT-P-14 b,b
HAT-P-15 b,b
HAT-P-16 b,b
HAT-P-17 b,b
HAT-P-17 c,c
HAT-P-18 b,b
HAT-P-19 b,b
HAT-P-2 b,b
HAT-P-20 b,b
HAT-P-21 b,b
HAT-P-22 b,b
HAT-P-23 b,b
HAT-P-24 b,b
HAT-P-25 b,b
HAT-P-26 b,b
HAT-P-27 b,b
HAT-P-28 b,b
HAT-P-29 b,b
HAT-P-3 b,b
HAT-P-30 b,b
HAT-P-31 b,b
HAT-P-32 b,b
HAT-P-33 b,b
HAT-P-34 b,b
HAT-P-35 b,b
HAT-P-36 b,b
HAT-P-37 b,b
HAT-P-38 b,b
HAT-P-39 b,b
HAT-P-4 b,b
HAT-P-40 b,b
HAT-P-41 b,b
HAT-P-42 b,b
HAT-P-43 b,b
HAT-P-44 b,b
HAT-P-44 c,c
HAT-P-45 b,b
HAT-P-46 b,b
HAT-P-49 b,b
HAT-P-5 b,b
HAT-P-50 b,b
HAT-P-51 b,b
HAT-P-52 b,b
HAT-P-53 b,b
HAT-P-54 b,b
HAT-P-55 b,b
HAT-P-56 b,b
HAT-P-57 b,b
HAT-P-6 b,b
HAT-P-65 b,b
HAT-P-66 b,b
HAT-P-67 b,b
HAT-P-68 b,b
HAT-P-69 b,b
HAT-P-7 b,b
HAT-P-70 b,b
HAT-P-8 b,b
HAT-P-9 b,b
HATS-1 b,b
HATS-10 b,b
HATS-11 b,b
HATS-12 b,b
HATS-13 b,b
HATS-14 b,b
HATS-15 b,b
HATS-16 b,b
HATS-17 b,b
HATS-18 b,b
HATS-2 b,b
HATS-22 b,b
HATS-23 b,b
HATS-24 b,b
HATS-25 b,b
HATS-26 b,b
HATS-27 b,b
HATS-28 b,b
HATS-29 b,b
HATS-3 b,b
HATS-30 b,b
HATS-31 b,b
HATS-32 b,b
HATS-33 b,b
HATS-34 b,b
HATS-35 b,b
HATS-36 b,b
HATS-37 A b,b
HATS-38 b,b
HATS-39 b,b
HATS-4 b,b
HATS-40 b,b
HATS-41 b,b
HATS-42 b,b
HATS-43 b,b
HATS-44 b,b
HATS-45 b,b
HATS-46 b,b
HATS-47 b,b
HATS-48 A b,b
HATS-49 b,b
HATS-5 b,b
HATS-50 b,b
HATS-51 b,b
HATS-52 b,b
HATS-53 b,b
