pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor
326.03,12.1,6165.6,19.1,0.231,,,,
516.21997,12.3,4684.8142,13.8,0.08,,,,
185.84,12.9,1525.5,3.9,0.0,,,,
1773.40002,12.9,1481.0878,3.79,0.37,,,,
798.5,13.5,565.7374,1.26,0.68,,,,
993.3,12.5,3273.5,9.21,0.08,,,,
,18.647,3000.0,2.54,,,1700.0,,
30.3506,13.9,289.2253,0.592,0.042,,,,
452.8,13.4,632.46,1.44,0.09,,,,
883.0,13.9,273.32,0.559,0.29,,,,
,12.3,4131.79,12.2,,,,,
,11.209,7786.5,30.4,,,1600.0,,
,16.141,4417.837,5.77,,,,,
,12.6,2383.6,6.55,,,,,
,12.9,1589.15,4.07,,,1250.0,,
416.0,13.4,603.877,1.38,,,,,
7336.5,10.31,6657.48,33.4,0.26,,2075.0,46.2,
,12.3,3972.875,11.7,,,,,
335.10001,12.3,4392.4106,13.0,0.29,,,,
269.3,12.7,2256.5,6.05,0.432,,,,
479.1,13.0,1233.13,3.08,0.38,,,,
1078.0,13.2,804.08,1.92,0.032,,,,
2391.0,14.2,171.621,0.329,0.098,,,,
14002.0,13.5,521.22,1.16,0.16,,,,
11688.0,13.4,635.66,1.45,0.45,,700.0,133.0,
4.230785,14.3,146.2018,0.275,0.013,,,80.0,
14.6516,13.9,263.9785,0.54,0.0,,700.0,89.73,
44.3989,8.51,54.4738,0.486,0.03,,,89.73,
5574.2,13.0,1232.493,3.08,0.13,,,89.73,
0.7365474,1.875,7.99,6.66,0.05,,1958.0,83.59,3.52
259.88,7.59,44.812,0.563,0.08,,,89.73,
934.3,13.4,638.8383,1.46,0.073,,,,
4.215,2.11,5.1,2.98,0.12,,,,
38.021,4.46,18.2,1.13,0.14,,,,
123.01,5.11,22.9,0.943,0.35,,,,
735.1,13.4,587.9855,1.34,0.06,,,90.0,
996.0,13.9,276.5121,0.566,0.08,,,90.0,
116.688,12.6,2380.45,6.54,0.3988,,,,
691.9,13.1,953.49,2.33,0.117,,,,
93.4,13.6,416.3573,0.91,0.06,,,,
952.7,12.8,1684.4,4.41,0.206,,,,
181.4,13.1,1017.0,2.49,0.027,,,,
,12.3,4290.5,12.7,,,,,
8.46321,4.203,57.2094,4.4,0.1,,,,19.1
481.9,12.7,2034.112,5.46,0.2,,,,8.64
268.94,13.8,330.5432,0.691,0.29,,,,
153.22,13.8,337.21763,0.705,0.001,,,,
137.48,13.7,352.78,0.754,0.26,,,,
379.63,11.6,17668.1697,62.2,0.15,,,,
621.99,12.4,3963.17,11.4,0.18,,,,
578.2,13.0,1334.886,3.34,0.21,,,,
41.6855,2.578,22.2481,7.89,0.0,,546.0,89.55,55.8
392.6,13.9,289.2253,0.592,0.2,,,,
733.0,13.5,540.311,1.21,0.76,,,,
2590.0,13.5,508.5,1.14,0.35,,,,
3.8728,2.85,8.5,2.02,0.0,,,,
125.94,8.38,53.0,0.495,0.31,,,,
5.6,3.61,12.7132,1.48,0.15,,,,
237.6,12.5,104.0,0.293,0.19,,,,
3.48777,14.1,187.5197,0.368,0.02,,,,
1634.0,14.1,206.5895,0.405,0.05,,,,
74.2,4.04,15.37,1.28,0.4,,,,
714.29999,12.5,3108.3774,8.75,0.21,,,,
655.6,12.8,1620.9,4.25,0.54,,,,
10037.5,12.4,3337.1,9.62,,,370.0,,
,12.3,3994.486,11.8,,,,,
8.9891,12.4,3686.828,10.6,0.25,,,50.5,
,24.66,5403.0,1.98,,,2600.0,,
1.5089557,16.7,327.35,0.38,0.0,,1898.0,85.1,4.92
13.2406,10.87,874.0,3.7,0.53,,600.0,88.55,31.33
2.99433,16.03,740.51,0.99,0.0,,1657.0,83.17,6.89
2.828042,16.14,291.438,0.411,0.07,,1442.0,85.48,8.0972
4.03519,9.92,415.704,2.34,0.0,,1700.0,88.02,10.81
1.51214,12.22,2415.4,7.3,0.0,,1952.0,79.6,4.78
5.35227,13.11,170.032,0.44,0.33,,,85.01,11.2
3.7681,11.43,772.29,2.82,0.0,,1626.0,88.34,6.23
1.9000693,14.68,1102.82,2.2,0.08,,1550.0,86.5,6.35
3.89713,14.46,352.78,0.71,0.047,,2000.0,88.0,6.7
1.7429935,16.432,1102.82,1.47,0.0143,,1521.0,88.08,6.7659
9.24285,9.416,1366.669,8.87,0.59,,1024.0,88.21,18.95
1675.0,12.2,5403.11,16.4,0.6,,,,
2.72474,14.572,718.2958,1.36,0.0,,,86.8,4.6
9.75598,4.88,12.2,0.249,0.077,,885.0,89.749,17.3
3.6313,11.77,889.9,3.0,0.16,,1660.0,85.7,6.85
5.1134,3.7,5.7,0.9,0.0,,1070.0,86.5,10.9
11.759,5.0,28.0,1.3,0.0,,850.0,89.0,18.0
4.86069,12.11,85.81,0.15,0.0,,1330.0,84.5,10.2
4.20474,14.12,165.26,0.28,0.0,,1600.0,86.8,6.28
3.57532,11.287,3302.11,12.6,0.065,,1500.0,86.7,9.48
5.20851,10.705,153.82972,0.69,0.047,,,88.1,7.29
2.85057,10.088,270.1555,1.45,0.082,,,87.3,9.22
4.2568,11.32,6883.91,26.4,0.0,,1695.0,85.9,7.8
9.06005,11.31,921.707,3.45,0.007,,,90.0,21.0
4.62941,16.365,266.9772,0.33,0.02,,,83.2,7.2
9.20205,13.34,228.83,0.525,0.0,,1074.0,90.0,17.36
4.0378962,15.558,148.42,0.217,0.09,,1438.0,85.83,9.54
8.886593,13.068,940.74,2.32,0.1,,1017.0,89.07,17.94
0.85359163,1.681,4.07661,6.61,0.0,,1756.0,80.1,4.26
3.698,2.83,8.4,2.04,0.0,,,80.0,
6.21229,6.39,69.92,1.6,0.0,,870.0,88.4,17.6
95.272656,11.949,266.9772,0.86,0.133,,420.0,89.9,89.9
6.71837,6.389,47.6745,1.1,,132.26,938.0,89.0,
4098.1,12.4,3823.2733,11.0,0.0,,,86.0,
246.36,11.9,9057.77,29.5,0.345,,,56.6,
,30.264,3496.0,0.693,,,2200.0,,
18.57,5.29,24.27,0.901,0.083,,877.0,,
6.584,3.06,9.6,1.84,0.057,,1239.0,,
2.882,1.65,3.35,4.1,0.07,,1632.0,,
5.516,1.86,4.13,3.53,0.07,,1314.0,,
5.2072,14.3,138.89171,0.261,0.078,,1000.0,,
6.6732,1.41,2.58,5.06,0.14,,854.0,,
10220.0,12.7,1995.88832,5.35,0.39,,,,
8.138268,5.7,413.179,,0.0,145.1,850.0,89.5,20.35
6.7987,1.047,1.15,5.51,0.0,,,89.002,
28.1656,1.87,4.16,3.5,,,,,61.5
2.13174,0.692,0.26,4.31,,,,,
3.80464,1.22,1.98,5.99,,,,,
2.71578,1.03,1.08,5.43,,,,,
2.0478,0.908,0.688,5.05,0.0,,,89.276,
3.96151,1.0,0.972,5.34,,,,,12.4
4.1698,1.04,1.12,5.47,,,,89.001,11.5
8.050722,1.31,2.27,5.55,,,961.0,89.81,16.18
4.50756,1.7,3.53,3.95,,,,,13.9
2.87814,1.01,1.01,5.39,,,,,
5.29711,1.62,3.26,4.21,,,,,10.1
2.25372,0.9,0.666,5.02,,,,,16.0
1.58252,0.96,0.84,5.22,,,,,6.1
21.169861,1.98,4.58,3.24,0.06,3.5,,89.73,48.67
19.49221,5.76,27.0,0.65,0.0,,817.0,87.9,35.63
2.28943,1.323,2.31,5.48,,,,,9.3
18.0983,2.17,5.35,2.88,,,,,27.9
34.885,1.6,3.19,4.28,,,,,
15.2841,1.12,1.46,5.71,,,,,28.9
13.603,2.586,7.2,2.29,0.2,,536.0,89.071,31.994
65.55,2.69,7.7,2.17,0.2,,316.0,89.63,91.172
0.70531,1.48,2.79,4.73,,,,,2.84
0.571331,1.82,7.72,8.5,0.0,4293.0,2119.0,86.4,2.72
13.339079,2.73,5.8,2.0,0.18,64.0,741.0,89.35,27.66
6.180235,11.781,953.49,3.1,,642.0,1401.0,86.21,9.8
3650.0,12.442,4131.79,,0.0,0.19,183.0,89.87,
3.5951,1.95,8.75,6.39,0.06,1037.0,1616.0,86.14,5.93
15.624,3.67,14.67,1.62,0.07,160.0,990.0,87.94,15.79
35.747,3.94,10.18,0.91,0.15,53.0,752.0,89.47,27.42
,12.2,5085.28,15.4,,,2375.0,,
5.746007,2.025,4.76,3.15,0.0,7.2,456.0,88.57,27.0
3.204,1.1,1.37,5.66,0.31,3.8,,,
6.689,1.18,1.74,5.82,0.29,1.4,,,
13.031,1.16,1.64,5.77,0.53,0.6,,,
1.628931,1.13,1.66,6.3,0.22,,529.0,86.58,16.0
8.929,1.43,2.64,4.96,0.27,,300.0,,
