st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_vsin,sy_gaiamag
G8 III,4742.0,19.0,2.7,2.243,2.31,,,1.2,4.44038
K4 III,4213.0,29.79,2.78,2.43,1.93,1.56,,1.5,4.56216
K0 III,4813.0,11.0,2.2,1.763,2.63,4.5,,2.6,4.91781
K0 V,5338.0,0.93,0.9,-0.153,4.45,3.9,1.27393,1.0,6.383
G3 V,5750.0,1.13,1.08,0.097,4.36,7.4,1.01103,2.7,6.06428
G6 III,4979.0,8.5,2.3,1.602,2.82,1.1,,,5.27476
K7 V,4060.0,1.31,0.85,-0.37,4.0,0.005,0.38789,,12.0572
G3 IV,4893.0,10.64,0.99,1.774,2.42,6.92,,3.36,5.3339
K0 IV,5098.0,4.9,1.54,1.164,3.5,2.7,,2.77,6.20374
M5.5/M6,,,0.19,,,0.03,,,
M3.5 V,3530.0,0.37,0.4,-1.72,4.86,0.12,10.11868,,12.9025
M6,3064.0,0.28,0.11,-2.23,4.59,0.035,17.67076,6.5,15.0123
M8.5,2936.0,0.23,0.02,-2.444,5.01,0.001,22.7811,,18.9668
M8,2825.0,0.22,0.02,-2.561,5.03,0.008,25.27945,,17.4076
,10868.0,0.34,0.48,0.168,3.91,,,,12.1376
M8.5,2300.0,0.12,0.08,-3.48,5.22,,63.55229,,17.3961
K7 V,4045.0,0.64,0.6,-1.021,4.62,0.12,3.36994,,11.9484
F6 V,6331.0,1.41,1.93,0.381,4.43,0.91,0.743,38.3,6.96085
K1 III,4415.0,18.11,1.23,2.062,1.8,4.604,,,4.23773
K1.5 III,4200.0,22.03,0.98,2.155,1.71,9.49,,1.0,4.43216
G0 V,5872.0,1.21,1.06,0.198,4.3,6.48,0.83662,2.8,4.87837
G1 V,5872.0,1.21,1.06,0.198,4.3,6.48,0.83662,2.8,4.87837
G0V,5872.0,1.21,1.06,0.198,4.3,6.48,0.83662,2.8,4.87837
F0 IV,7295.0,1.49,1.75,0.85,4.31,0.02,0.70712,65.19,5.15806
G5V,5758.0,1.18,1.03,0.136,4.31,10.0,0.89374,2.2,5.28647
K0 IV-V,5172.0,0.94,0.91,-0.197,4.43,5.5,1.41851,1.23,5.72973
G8V,5172.0,0.94,0.91,-0.197,4.43,10.2,1.41851,1.23,5.72973
G8 V,5172.0,0.94,0.91,-0.197,4.43,5.5,1.41851,1.23,5.72973
G8 V,5172.0,0.94,0.91,-0.197,4.43,10.2,1.41,1.23,5.72973
K0 IV,4938.0,5.2,1.44,1.176,3.19,2.353,,1.32,5.60686
G5 V,5577.0,0.96,0.94,-0.095,4.34,8.96,1.44933,1.9,4.54052
K1 III,4826.0,4.87,1.34,1.063,3.19,4.3,,1.15,3.67853
K1III(+M),4826.0,4.87,1.34,1.063,3.19,4.3,,1.15,3.67853
G5V,5495.0,1.89,1.09,0.451,3.95,7.77,0.19024,1.56,4.76178
G3 III,4846.0,10.5,2.49,1.73,2.63,,,1.77,5.09343
K0,4847.0,10.3,1.44,1.725,2.57,1.7,,3.6,6.55896
G5 III,4785.0,11.0,2.4,1.778,2.35,,,1.8,5.37588
K0 III,4665.0,11.0,1.4,1.692,2.52,3.56,,3.9,3.95311
K2 V,5285.0,1.0,0.9,-0.226,4.53,0.03,1.12014,10.35,8.8378
M1VE,3700.0,0.75,0.5,-1.046,4.57,0.022,2.74466,8.7,7.84038
,4095.0,32.35,1.14,2.7,1.89,5.2,,2.7,8.9977
K2 V,4864.0,0.86,0.49,-0.32,4.26,,1.73113,2.5,9.35108
G5,4649.0,8.95,1.08,1.57,2.61,7.41,,2.5,9.9918
K0,4796.0,14.7,1.1,2.01,2.8,7.1,,2.3,8.7178
K2 II,4259.0,71.02,10.83,3.17,1.77,,,2.5,9.22684
K2 II,4137.0,49.0,2.8,3.17,1.51,,,2.5,9.22684
K5 III,4296.0,17.3,0.8,1.96,1.99,,,2.0,8.91613
G,5766.0,1.08,1.67,-0.056,4.5,3.34,1.89,3.3,10.8644
K0 III,4414.0,11.0,0.74,1.69,2.24,,,1.0,8.65569
K3 III,4534.0,10.33,1.09,1.64,2.48,,,0.7,8.26449
K0,4943.0,7.6,1.52,1.47,2.85,2.34,,1.7,9.02851
K7/M0 V,4324.0,0.69,0.7,-1.022,4.74,4.4,2.747,0.57,9.10677
K3 V,4816.0,0.71,0.5,-0.626,4.43,4.5,3.31801,1.4,9.50331
K3 V,4746.0,0.72,0.74,-0.626,4.13,4.5,3.31801,1.4,9.50331
K0 V,5393.0,0.91,1.47,-0.191,4.69,1.0,1.53276,0.92,9.83981
K7 V,4550.0,0.64,0.65,-0.804,4.64,7.4,3.53,1.0,9.48511
K7V,4550.0,0.64,0.65,-0.804,4.64,7.4,3.53,1.0,9.48511
G5 IV/V,4545.0,19.17,2.12,2.043,2.2,0.74,,,9.69971
K5 V,4714.0,0.69,0.74,-0.678,4.26,4.3,2.75844,1.5,9.20112
